Model,Xviewer,
BlockNumber,1,
TraceName,CH1,CH2
BlockSize,10010,10010
Date,25-05-2022,25-05-2022
Time,39:35.8,39:35.8
VUnit,V,V
HResolution,5.00E-06,5.00E-06
HOffset,-2.50E-02,-2.50E-02
HUnit,s,s
,2.603333,4.54
,2.603333,4.526667
,2.603333,4.526667
,2.593333,4.513333
,2.603333,4.54
,2.616667,4.54
,2.596667,4.526667
,2.596667,4.553333
,2.603333,4.526667
,2.603333,4.553333
,2.596667,4.54
,2.616667,4.54
,2.61,4.54
,2.596667,4.553333
,2.596667,4.54
,2.616667,4.553333
,2.603333,4.553333
,2.61,4.54
,2.616667,4.54
,2.596667,4.54
,2.616667,4.526667
,2.616667,4.54
,2.623333,4.54
,2.61,4.56
,2.603333,4.553333
,2.61,4.56
,2.61,4.56
,2.61,4.553333
,2.61,4.553333
,2.616667,4.553333
,2.603333,4.553333
,2.616667,4.553333
,2.603333,4.56
,2.61,4.56
,2.616667,4.553333
,2.61,4.553333
,2.616667,4.56
,2.616667,4.553333
,2.616667,4.553333
,2.61,4.553333
,2.626667,4.56
,2.61,4.56
,2.623333,4.56
,2.623333,4.56
,2.61,4.56
,2.61,4.573333
,2.61,4.573333
,2.61,4.56
,2.616667,4.573333
,2.623333,4.586667
,2.623333,4.56
,2.616667,4.56
,2.616667,4.56
,2.616667,4.56
,2.61,4.56
,2.623333,4.56
,2.633333,4.56
,2.623333,4.573333
,2.623333,4.586667
,2.626667,4.56
,2.616667,4.573333
,2.616667,4.56
,2.626667,4.573333
,2.623333,4.586667
,2.616667,4.573333
,2.616667,4.586667
,2.626667,4.586667
,2.623333,4.56
,2.61,4.6
,2.616667,4.586667
,2.633333,4.6
,2.626667,4.573333
,2.626667,4.586667
,2.623333,4.586667
,2.623333,4.573333
,2.626667,4.573333
,2.626667,4.573333
,2.626667,4.586667
,2.616667,4.573333
,2.626667,4.586667
,2.623333,4.573333
,2.623333,4.586667
,2.626667,4.586667
,2.623333,4.586667
,2.626667,4.586667
,2.626667,4.6
,2.626667,4.573333
,2.633333,4.6
,2.623333,4.6
,2.623333,4.586667
,2.626667,4.6
,2.64,4.613333
,2.64,4.6
,2.633333,4.6
,2.623333,4.6
,2.626667,4.6
,2.616667,4.613333
,2.64,4.6
,2.64,4.6
,2.626667,4.6
,2.633333,4.6
,2.64,4.586667
,2.646667,4.613333
,2.64,4.586667
,2.623333,4.613333
,2.64,4.6
,2.626667,4.613333
,2.64,4.6
,2.64,4.613333
,2.626667,4.613333
,2.64,4.6
,2.64,4.613333
,2.633333,4.613333
,2.64,4.626667
,2.64,4.626667
,2.633333,4.6
,2.633333,4.613333
,2.646667,4.613333
,2.64,4.6
,2.64,4.613333
,2.646667,4.613333
,2.64,4.6
,2.633333,4.613333
,2.646667,4.613333
,2.64,4.626667
,2.633333,4.626667
,2.646667,4.626667
,2.653333,4.613333
,2.64,4.626667
,2.64,4.626667
,2.64,4.626667
,2.646667,4.626667
,2.646667,4.613333
,2.64,4.613333
,2.64,4.613333
,2.653333,4.613333
,2.646667,4.633333
,2.646667,4.626667
,2.64,4.626667
,2.646667,4.626667
,2.646667,4.633333
,2.646667,4.633333
,2.653333,4.613333
,2.64,4.633333
,2.653333,4.633333
,2.646667,4.633333
,2.653333,4.633333
,2.653333,4.626667
,2.646667,4.613333
,2.646667,4.626667
,2.646667,4.633333
,2.653333,4.633333
,2.653333,4.66
,2.653333,4.633333
,2.653333,4.633333
,2.64,4.626667
,2.64,4.646667
,2.66,4.626667
,2.66,4.626667
,2.653333,4.646667
,2.646667,4.613333
,2.653333,4.646667
,2.646667,4.646667
,2.653333,4.626667
,2.653333,4.646667
,2.66,4.646667
,2.66,4.646667
,2.653333,4.633333
,2.66,4.646667
,2.653333,4.633333
,2.646667,4.646667
,2.653333,4.633333
,2.646667,4.646667
,2.653333,4.66
,2.663333,4.626667
,2.663333,4.66
,2.66,4.633333
,2.646667,4.646667
,2.653333,4.646667
,2.66,4.66
,2.653333,4.646667
,2.64,4.646667
,2.653333,4.66
,2.653333,4.673333
,2.663333,4.66
,2.66,4.646667
,2.66,4.646667
,2.66,4.646667
,2.663333,4.66
,2.663333,4.686666
,2.653333,4.646667
,2.66,4.633333
,2.663333,4.646667
,2.663333,4.646667
,2.663333,4.66
,2.66,4.66
,2.67,4.66
,2.653333,4.673333
,2.653333,4.673333
,2.646667,4.673333
,2.67,4.66
,2.663333,4.686666
,2.67,4.673333
,2.663333,4.66
,2.67,4.66
,2.663333,4.673333
,2.663333,4.66
,2.67,4.646667
,2.653333,4.673333
,2.67,4.66
,2.676667,4.673333
,2.67,4.66
,2.663333,4.686666
,2.66,4.673333
,2.67,4.673333
,2.676667,4.686666
,2.663333,4.686666
,2.663333,4.686666
,2.66,4.673333
,2.67,4.686666
,2.663333,4.66
,2.67,4.673333
,2.683333,4.686666
,2.67,4.673333
,2.67,4.686666
,2.663333,4.673333
,2.67,4.686666
,2.66,4.673333
,2.67,4.686666
,2.683333,4.686666
,2.69,4.673333
,2.676667,4.7
,2.676667,4.686666
,2.663333,4.673333
,2.663333,4.7
,2.663333,4.673333
,2.67,4.686666
,2.683333,4.686666
,2.683333,4.7
,2.676667,4.673333
,2.67,4.686666
,2.676667,4.7
,2.676667,4.686666
